public_path,original_repository,original_path,source_commit,original_sha256,public_sha256,transformation_summary,scientific_behavior_changed,verification_status
pkg/src/protocol_routing/__init__.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),41ae7902d66a4db0cb4e050a05deb223868b741d805f770fd022648b4c5ded45,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/bootstrap.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),ce2333f2d9de71c37f3031f45722e9a3695fd22f4861bf225ec35386060e7591,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/confidence.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),cde4a0518995190f38592dd960af9bb9ae9dadf401730a2ea51193b5dd7ebc5c,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/features.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),2082152d867d0661497656337b2c8b0159b9f506c036ecce445dfaf13d503f29,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/io.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),42e6f7b779a4240d66d3fdb05a6469051587bb82d246fd94065e799bf59ecd2b,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/matched.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),3e7998a8586f8a55b5b963aa5b30ef31f65e2cdc549d97d9ec6bc4d8b4c7cfab,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/metrics.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),41be15bf89f16aa01a93f6103edebdda8ca9939b623090a6d939e05d4f36bc2a,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/oracle.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),8e882ef40ed5560f4a906d60f39c11d9e9fe35db353a245a524392122363cdf6,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/protocols.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),b81c652b97c848b18ece9ea6efa10a41bdd3a26c72258fa8716ced49f16e8d53,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/src/protocol_routing/router.py,none (new code written for the release),conceptual antecedents: <experiment-repo>/emnlp_short_paper/scripts/*.py (23 analysis scripts),"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",n/a (no single origin file),4db329ade1daf8ff6c78561474d839c9bd27ae0fcb2ef4864340dd8d872a1c42,"Clean-room reimplementation, NOT a copy. Function-name overlap with every AgentVerse emnlp_short_paper script is 0-2 names (measured this session); no shared code text. The AgentVerse originals are one-off analysis scripts with hardcoded absolute paths; this is a packaged library taking every path from CLI/config. Behaviour must therefore be validated against released outputs, not assumed from lineage.","MUST_BE_VALIDATED - not a copy, so equivalence to the originals is an empirical question, not inherited",REIMPLEMENTATION_UNVALIDATED
pkg/configs/models.yaml,AgentVerse,<experiment-repo>/code/confident_routing/configs/baseline_llm/config.yaml,"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",afbe04c351c8131795924d42a2480d7b4a04293b66058b4ecb46e6baa30208c0,1ac1e98af62466b73cb90c4a17f1ec29bd25628c02060b455b42dbfeb04cdc5a,"Transcription of model/decoding fields out of the AgentVerse execution configs into a documentation-only YAML, with a per-field `source:` key and `verified: true/false`. Adds an explicit llm_type_alias block warning that `llm_type: gpt-3.5-turbo` is an AgentVerse registry alias, NOT the served model. Executes nothing.","NO - documentation only, no executable path",VERIFIED
pkg/configs/protocols/baseline.yaml,AgentVerse,<experiment-repo>/code/confident_routing/configs/baseline_llm/config.yaml,"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",afbe04c351c8131795924d42a2480d7b4a04293b66058b4ecb46e6baa30208c0,7598a836d2168d16dfc0176d9d030ea1c8265a5b0ddfd95326f9dae71b3b23f5,Transcription of the protocol role structure into a documentation-only YAML with field-level `source:` keys. Prompts and endpoint wiring omitted. Executes nothing.,NO - documentation only,VERIFIED
pkg/configs/protocols/single.yaml,AgentVerse,<experiment-repo>/code/confident_routing/configs/single_agent_hint_llm/config.yaml,"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",fe5f0469c72ae6d24e9ff01dc9557d918db9b19a2ae4378c96c0d868903acf40,3ca592a850290fe6084990db01b3281afadde584455c0c99b2b75b4d2842a460,As baseline.yaml.,NO - documentation only,VERIFIED
pkg/configs/protocols/per.yaml,AgentVerse,<experiment-repo>/code/confident_routing/configs/per_hint_llm/config.yaml,"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",f623e3e614b39ff5fb4e773a31d65a1d142e1880715ee482b1ea9eb829106f7a,6de303790008f23992bd7ea99d6f64cec472cae58517a3a62ea711d5fb5a4185,As baseline.yaml.,NO - documentation only,VERIFIED
pkg/configs/protocols/broadcast.yaml,AgentVerse,<experiment-repo>/code/confident_routing/configs/broadcast_hint_llm/config.yaml,"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",17ac1901a0773bd8246e7aed6f0e67cc8837d004829c9d4c82d44d1b734b3737,8989eeb7f4a6d4235674b1c4dbdcabbd6e1b7f384c612bfa08c99486c5cd4a3c,As baseline.yaml.,NO - documentation only,VERIFIED
pkg/configs/routers/six_setting.yaml,post-review extract (note repo git history),<post-review-extract>/scripts/train_rebuttal_routers.py,096e3621 (branch emnlp-trace2training-rebuttal-2026-07-14),6e06f1df6d1c68d62ef585791b61b527f3dd89312b007181cf27ca6be8cb3aad,be85d0906e3eafe49b04c83a0f4f6687ea2a2187e2e1cd693b5eec27941aee38,"Split scheme, hyperparameter grid, selection rule and bootstrap definition transcribed from the training script and its run manifest into declarative YAML.",NO - documentation only,VERIFIED
pkg/configs/routers/primary_split.yaml,AgentVerse,<experiment-repo>/results/emnlp_routing/splits/split_metadata.json,"b4a2db6ee53811b1a578972421da6a9cc2a18286 (branch codex/dhd-protocol, 2026-07-24)",c55bcd1c0aca759097743b5cd2c0b06b9731080bf3e6f6a82aed0f885f0be23e,e99223fbf6feda723d501c9a3a0b3aba51f7521f81bf5300cf2cf9629dd58564,Primary 80/10/10 seed-42 split parameters transcribed into declarative YAML.,NO - documentation only,VERIFIED
hf:AgentsSci/EMNLP_Cost-Aware-Protocol-Routing/data/aggregate/failure_and_protocol_value_targets.csv,notes repo (EMNLP-ProtocolRouting camera-ready),<camera-ready>/anc/failure_and_protocol_value_targets.csv,camera_ready_2026-08-07 working tree (not under git); notes repo e759fe7992db4d771d82eebd060dcd2f240363a3,4a7860327cc2546eb55ff1a131521823c5371e8af6b63d701d332f47186d3354,aad9af7b8ae8cbee7a7d73ecb7393cbb5adcb6ded6d5ec924dc8d1487e34c045,"Copied with a leading `setting_id` column added (machine-readable join key). Re-serialization drops trailing zeros (e.g. 96.50 -> 96.5). I compared every cell numerically this session: all values identical to the camera-ready original, zero real differences. The sha256 differs for formatting reasons only.","NO - values numerically identical, verified cell-by-cell",VERIFIED
hf:AgentsSci/EMNLP_Cost-Aware-Protocol-Routing/data/aggregate/heldout_router_evaluation.csv,notes repo (EMNLP-ProtocolRouting camera-ready),<camera-ready>/anc/heldout_router_evaluation.csv,camera_ready_2026-08-07 working tree (not under git); notes repo e759fe7992db4d771d82eebd060dcd2f240363a3,bd96d2952c6fdbfb5472c22cc7a2a85dda22ec84b0e7915165d93e2a28390745,ff064f045fcfab7e352d58f56070d98c3d1461e6cf44d3dfa0c5b108713c3fa9,"Copied with a leading `setting_id` column added (machine-readable join key). Re-serialization drops trailing zeros (e.g. 96.50 -> 96.5). I compared every cell numerically this session: all values identical to the camera-ready original, zero real differences. The sha256 differs for formatting reasons only.","NO - values numerically identical, verified cell-by-cell",VERIFIED
hf:AgentsSci/EMNLP_Cost-Aware-Protocol-Routing/data/aggregate/heldout_router_paired_differences.csv,notes repo (EMNLP-ProtocolRouting camera-ready),<camera-ready>/anc/heldout_router_paired_differences.csv,camera_ready_2026-08-07 working tree (not under git); notes repo e759fe7992db4d771d82eebd060dcd2f240363a3,30e173766f082d7f00e184dd5b2f6b43d889981ea0273c49127a6b6b1e54fcc8,2e77e2a2fd25c7621d195a9b27686fffd1b7e82b5bd768431c9557d8c9f00771,"Copied with a leading `setting_id` column added (machine-readable join key). Re-serialization drops trailing zeros (e.g. 96.50 -> 96.5). I compared every cell numerically this session: all values identical to the camera-ready original, zero real differences. The sha256 differs for formatting reasons only.","NO - values numerically identical, verified cell-by-cell",VERIFIED
hf:AgentsSci/EMNLP_Cost-Aware-Protocol-Routing/data/aggregate/main_routing_heldout.csv,notes repo (EMNLP-ProtocolRouting camera-ready),<camera-ready>/anc/main_routing_heldout.csv,camera_ready_2026-08-07 working tree (not under git); notes repo e759fe7992db4d771d82eebd060dcd2f240363a3,701639c63c0632af09652bc756ab9cca776131636ac96c193da2afb20d3790fc,701639c63c0632af09652bc756ab9cca776131636ac96c193da2afb20d3790fc,Copied verbatim. Byte-identical to the camera-ready ancillary file (sha256 match confirmed this session).,"NO - values numerically identical, verified cell-by-cell",VERIFIED
hf:AgentsSci/EMNLP_Cost-Aware-Protocol-Routing/data/aggregate/matched_protocol_coverage.csv,notes repo (EMNLP-ProtocolRouting camera-ready),<camera-ready>/anc/matched_protocol_coverage.csv,camera_ready_2026-08-07 working tree (not under git); notes repo e759fe7992db4d771d82eebd060dcd2f240363a3,03829efbf46ce97595be687a8bc9e0a5e9cd5f0597d8f51ead70830a8e4b816d,ccaee9945a0202524fa72ba600c1e9cb8cd604de46e48f58c47456d8291b77e6,"Copied with a leading `setting_id` column added (machine-readable join key). Re-serialization drops trailing zeros (e.g. 96.50 -> 96.5). I compared every cell numerically this session: all values identical to the camera-ready original, zero real differences. The sha256 differs for formatting reasons only.","NO - values numerically identical, verified cell-by-cell",VERIFIED
hf:AgentsSci/EMNLP_Cost-Aware-Protocol-Routing/data/aggregate/oracle_label_distribution.csv,notes repo (EMNLP-ProtocolRouting camera-ready),<camera-ready>/anc/oracle_label_distribution.csv,camera_ready_2026-08-07 working tree (not under git); notes repo e759fe7992db4d771d82eebd060dcd2f240363a3,1954e465a2090d1be0701b7097b3bb1ac4a9bb79cdd85f2db449f5f2118bf3d2,4f5f2475b26f56fcedc0f0baa13f11a5561433e2dfd0e0debf162501b81651e1,"Copied with a leading `setting_id` column added (machine-readable join key). Re-serialization drops trailing zeros (e.g. 96.50 -> 96.5). I compared every cell numerically this session: all values identical to the camera-ready original, zero real differences. The sha256 differs for formatting reasons only.","NO - values numerically identical, verified cell-by-cell",VERIFIED
hf:AgentsSci/EMNLP_Cost-Aware-Protocol-Routing/data/aggregate/per_broadcast_interaction.csv,notes repo (EMNLP-ProtocolRouting camera-ready),<camera-ready>/anc/per_broadcast_interaction.csv,camera_ready_2026-08-07 working tree (not under git); notes repo e759fe7992db4d771d82eebd060dcd2f240363a3,fed3508bae4c74807f2f30d2f08f9c1efc76580485073efd666d387abc5f4914,9310bee5627e58964dae0002481dcdb94b186f3c077b1f5b6142fb4195bf2b72,"Copied with a leading `setting_id` column added (machine-readable join key). Re-serialization drops trailing zeros (e.g. 96.50 -> 96.5). I compared every cell numerically this session: all values identical to the camera-ready original, zero real differences. The sha256 differs for formatting reasons only.","NO - values numerically identical, verified cell-by-cell",VERIFIED
hf:AgentsSci/EMNLP_Cost-Aware-Protocol-Routing/data/aggregate/postanswer_confidence.csv,notes repo (EMNLP-ProtocolRouting camera-ready),<camera-ready>/anc/postanswer_confidence.csv,camera_ready_2026-08-07 working tree (not under git); notes repo e759fe7992db4d771d82eebd060dcd2f240363a3,bd7b8fbf8e7bcb8a708d7b0a92badf8439f27dfc166fe6759f16c625dff6b420,ce73b47263c6e95cef74bb325fcfd8d560f7ee8c12cebd259cdc345f5dfc5ca5,"Copied with a leading `setting_id` column added (machine-readable join key). Re-serialization drops trailing zeros (e.g. 96.50 -> 96.5). I compared every cell numerically this session: all values identical to the camera-ready original, zero real differences. The sha256 differs for formatting reasons only.","NO - values numerically identical, verified cell-by-cell",VERIFIED
